read	cluster	cluster_size	type
0ab2b988-ca8a-42b6-9777-7c07b3aa7812	33	1	annotated
82d15f3d-1025-47c1-8a5e-6298317c5566	34	2	annotated
82d15f3d-1025-47c1-8a5e-6298317c5566	34	2	annotated
65ca21da-f6ce-4b28-9c2a-bc618c52f3f2	34	2	annotated
65ca21da-f6ce-4b28-9c2a-bc618c52f3f2	34	2	annotated
65ca21da-f6ce-4b28-9c2a-bc618c52f3f2	35	2	annotated
65ca21da-f6ce-4b28-9c2a-bc618c52f3f2	35	2	annotated
82d15f3d-1025-47c1-8a5e-6298317c5566	35	2	annotated
82d15f3d-1025-47c1-8a5e-6298317c5566	35	2	annotated
13369abb-a284-4d38-a161-fc9cf45b3550	36	1	NA
5aeb9253-d8e5-4e5e-9781-68411caff314	37	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	38	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	38	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	38	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	38	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	39	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	39	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	39	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	39	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	40	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	40	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	40	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	40	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	41	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	41	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	41	1	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	41	1	annotated
36c2cfc6-4e39-4336-8b8c-228706046b1f	42	3	annotated
4f556b82-ae6a-4ced-9271-84f51588ac3a	42	3	annotated
3fc57182-d825-4a84-a93f-009c45b66beb	42	3	annotated
67ae916b-a44f-4485-ab11-7917b9c1ef10	43	1	annotated
964e1279-fa4a-4e55-9a47-2c758c34fd84	44	1	annotated
1b012765-f55b-4d0b-afce-a7a894ee2792	45	1	annotated
9933bfd0-6a90-446c-802a-6b8bf1c5f5a3	46	1	annotated
a510c008-996c-40bf-9ba7-a887420e0579	47	1	annotated
23b7857b-ad61-4091-a653-df8c3b3ee8d5	48	1	annotated
374e3d53-8ac3-46c1-9e4c-23c7b98de407	49	1	annotated
666123c8-62c5-4aba-9812-b6ad75692801	50	1	annotated
728f5ca9-32a6-453b-a887-5f2c9fb0c157	51	1	annotated
31cdc05f-9d37-445e-960e-f5f5c5defafa	52	1	annotated
8d41b394-bd3c-494e-b6b6-db84d5f1fa8f	53	1	annotated
9cecffae-b917-45da-ab7e-db360ff8da00	54	1	annotated
2b0f1d32-faac-4b9a-8455-bf3c1dd6a7b4	55	1	annotated
dbe97266-98a8-4a2b-a847-6c48afad21fa	56	1	annotated
c645e51d-38d5-481e-9f3b-15b93e51bb63	57	1	annotated
be5829d3-23ee-4f23-b407-722d536846d1	58	1	annotated
53b74397-bb61-4d08-a5c9-4c3a46f93914	59	1	annotated
006a622c-43dd-4bb3-9d14-07f98cd7f567	60	1	annotated
e6e21dce-e5d5-423f-b530-b3f14b9c4404	61	1	annotated
e6e21dce-e5d5-423f-b530-b3f14b9c4404	62	1	annotated
b1a5c136-a751-4582-a19f-16655382bf53	63	1	annotated
74b510c2-47a4-4135-bbf6-5bd13a65833f	64	1	NA
d7e922ac-8d25-4d85-b4d8-4efe3ecbda74	65	1	NA
d7e922ac-8d25-4d85-b4d8-4efe3ecbda74	66	1	NA
e093b9d6-ff07-4094-9198-898803e81ee2	67	1	annotated
8360cffe-5417-4aa3-a068-01ba83c65b51	68	1	NA
8360cffe-5417-4aa3-a068-01ba83c65b51	69	1	NA
9e17ad95-2694-4abe-a06b-57bf1a2c58cd	70	1	annotated
ac4b8358-d45e-48cd-89cd-b6a7aff1a803	71	1	annotated
3e328ae2-bbba-429b-9315-5ee846c6c9bd	72	1	annotated
b3d65a75-abce-451a-9471-dbe2f2456350	73	1	annotated
7b6b816d-df03-4335-8b8f-e24844040b43	74	1	annotated
6efaa95d-0fa8-4aed-b1b9-af6e8360152e	75	1	NA
06eede2a-ba10-4105-8cc9-1e55380f5b24	76	1	NA
58ce2153-51b3-4f5e-874b-dccbf5b8313f	77	1	NA
58ce2153-51b3-4f5e-874b-dccbf5b8313f	78	1	NA
65a530f3-5a64-4b32-a6a9-bf15ec36f1f4	79	1	NA
7896614e-6623-420e-a13e-c6e9805dddd6	80	1	NA
0b2000bf-d228-4b89-ae45-6a454564b6fb	81	1	NA
0ebecfe3-a3f7-4e9b-8b0b-a7b5469479ee	82	1	NA
0b2000bf-d228-4b89-ae45-6a454564b6fb	83	1	NA
7253775b-c19f-45cf-9983-ca3d44c193ee	84	1	NA
40ba6b08-802f-4e61-b3da-8950ef907343	85	1	NA
3cd05d9c-f62d-41a0-949e-269193299975	86	1	annotated
3cd05d9c-f62d-41a0-949e-269193299975	86	1	annotated
